source_cluster_id,target_cluster_id,relation_type,description,source_trigger,source_summary,target_trigger,target_summary,confidence_score,explanation,evidence_type,source_trigger_arguments,target_trigger_arguments,source_trigger_time,target_trigger_time,source_agent,target_agent,source_location,target_location,source_lat,source_lon,target_lat,target_lon
1193,5089,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,impose an additional 10 per cent tariff,"President-elect Donald Trump announced plans to impose an additional 10% tariff on Chinese goods, contingent on Beijing's efforts to curb fentanyl trafficking.",0.7160959243774411,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'impose an additional 10 per cent tariff' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'President-elect Donald Trump', 'object': 'imported Chinese goods', 'location': 'United States', 'time': '2024-11-26', 'counterpart': 'China', 'impact_summary': 'Potentially sets off a new phase of trade tensions between the US and China, impacting global trade dynamics.', 'cause': 'China not doing enough to control fentanyl flow into the US'}",,2024-11-26,,President-elect Donald Trump,,United States,,,39.7837304,-100.445882
1193,5442,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,threaten even more harsh trade tariffs,"US President-elect Donald Trump threatened to impose more severe trade tariffs, affecting market dynamics and international trade relations.",0.757759690284729,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'threaten even more harsh trade tariffs' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'trade tariffs', 'location': 'United States', 'time': '2024-12-01', 'counterpart': None, 'impact_summary': 'Potentially escalates trade tensions and impacts global markets and economic growth.', 'cause': ""Trump's policy agenda and 'America First' stance""}",,2024-12-01,,Donald Trump,,United States,,,39.7837304,-100.445882
1193,6406,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,impose a 10 per cent tariff on Chinese goods,Donald Trump announced plans to impose a 10% tariff on Chinese goods to pressure Beijing to reduce the flow of Chinese-made chemicals contributing to the opioid crisis in the US.,0.7261546850204461,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'impose a 10 per cent tariff on Chinese goods' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,,,,,,,,,,,
1193,8822,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,trade war since 2018,"The ongoing trade war between the US and China has escalated under Trump's policies, further affecting Asian nations.",0.7908109426498411,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'trade war since 2018' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'United States; China', 'object': 'Trade relations', 'location': 'Global', 'time': '2018-Present', 'counterpart': 'Asian markets', 'impact_summary': 'Trade tensions affect global markets with increased uncertainty.', 'cause': 'Escalation of tariffs and nationalistic policies'}",,2018-Present,,United States; China,,Global,,,55.702215,12.5592485
1193,9571,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,tariff hikes,"Former President Trump plans massive tariff hikes which could trigger a trade war, impacting China-centric manufacturing networks in Asia.",0.7826786637306211,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'tariff hikes' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'President Joe Biden', 'object': 'tariffs on Chinese-made electric vehicles', 'location': 'United States', 'time': '2024-05-14', 'counterpart': 'China', 'impact_summary': 'The tariff increase is aimed at preventing China from unfairly controlling the electric vehicle market in the United States and safeguarding US jobs.', 'cause': 'Unfair trade practices by China'}",,2024-05-14,,President Joe Biden,,United States,,,39.7837304,-100.445882
1193,12270,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,impose punishing tariffs,Donald Trump reiterated his pledge to impose severe tariffs on China as a strategy to bolster US manufacturing.,0.7766709327697751,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'impose punishing tariffs' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'Donald Trump', 'object': 'China trade policy', 'location': 'United States', 'time': None, 'counterpart': 'China', 'impact_summary': 'The policy aims to prioritize US manufacturing but risks escalating trade tensions with China.', 'cause': ""Trump's economic strategy to favor domestic manufacturing""}",,,,Donald Trump,,United States,,,39.7837304,-100.445882
1193,25674,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,prospect of a trade war,The potential return of Trump raises the specter of a full-fledged trade war with China.,0.79790586233139,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'prospect of a trade war' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,"{'agent': 'Trump Administration', 'object': 'US-China Trade Relations', 'location': 'United States/China', 'time': None, 'counterpart': 'China', 'impact_summary': 'A trade war could strain bilateral relationships and impact global markets.', 'cause': ""Trump's unpredictable foreign policy stance""}",,,,Trump Administration,,United States/China,,,30.047992,-94.3357433
1193,32461,happens_before,,10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,started a trade war with China,"In 2018, President Donald Trump initiated a trade war with China, impacting global supply chains and trade patterns.",0.818075299263,Event '10 per cent tariffs on all Chinese imports' happens_before Event 'started a trade war with China' via COMET: 'President Trump has threatened to start a trade war with China',comet_happens_before,,,,,,,,,,,,
1390,1681,happens_before,,United States President Donald Trump pulled his country out of the Paris Agreement,"President Donald Trump withdrew the United States from the Paris Agreement, complicating global efforts to finance clean energy transitions.",withdrawing the US from an international pact,President Trump signed an executive order to withdraw the United States from the 2015 Paris climate deal.,0.8003927469253541,Event 'United States President Donald Trump pulled his country out of the Paris Agreement' happens_before Event 'withdrawing the US from an international pact' via COMET: 'President Trump withdraws from the Paris Agreement',comet_happens_before,,,,,,,,,,,,
1390,2444,happens_before,,United States President Donald Trump pulled his country out of the Paris Agreement,"President Donald Trump withdrew the United States from the Paris Agreement, complicating global efforts to finance clean energy transitions.",withdraw from the Paris Agreement,Donald Trump is predicted to withdraw the US from the Paris Agreement on climate change for the second time.,0.822628378868103,Event 'United States President Donald Trump pulled his country out of the Paris Agreement' happens_before Event 'withdraw from the Paris Agreement' via COMET: 'President Trump withdraws from the Paris Agreement',comet_happens_before,,,,,,,,,,,,
1396,272,happens_before,,tariff threat,"US President Donald Trump threatened to impose a 10 percent duty on Chinese imports, with a potential deadline set for February 1st.",threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",0.7084300518035881,Event 'tariff threat' happens_before Event 'threatened to slap a 60 per cent flat fee on Chinese goods' via COMET: 'US president threatens to impose 10% duty on Chinese products',comet_happens_before,"{'agent': 'Donald Trump', 'object': 'Chinese imports', 'location': 'United States', 'time': '2024-11-28', 'counterpart': 'China', 'impact_summary': 'The move could lead to another trade war between the US and China, affecting global economic stability.', 'cause': ""Trump's economic strategy""}",,2024-11-28,,Donald Trump,,United States,,39.7837304,-100.445882,,
1396,1193,happens_before,,tariff threat,"US President Donald Trump threatened to impose a 10 percent duty on Chinese imports, with a potential deadline set for February 1st.",10 per cent tariffs on all Chinese imports,President Trump mentioned that a 10% tariff on all Chinese imports could commence on February 1 as a strategic leverage against China.,0.750517845153808,Event 'tariff threat' happens_before Event '10 per cent tariffs on all Chinese imports' via COMET: 'US president threatens to impose 10% duty on Chinese products',comet_happens_before,"{'agent': 'Donald Trump', 'object': 'Chinese imports', 'location': 'United States', 'time': '2024-11-28', 'counterpart': 'China', 'impact_summary': 'The move could lead to another trade war between the US and China, affecting global economic stability.', 'cause': ""Trump's economic strategy""}",,2024-11-28,,Donald Trump,,United States,,39.7837304,-100.445882,,
